time,original,filtered,fitted
0,2.59583,2.59583,2.47046
0.001,2.79519,2.696,2.47052
0.002,3.06006,2.83287,2.47059
0.003,3.34078,2.99666,2.47065
0.004,3.21701,3.0621,2.47071
0.005,3.30723,3.13176,2.47078
0.006,2.80126,3.04003,2.47084
0.007,2.60648,2.92121,2.4709
0.008,2.69263,2.85898,2.47097
0.009,3.21869,2.95656,2.47103
0.01,2.94583,2.95365,2.4711
0.011,2.75772,2.90066,2.47116
0.012,3.21512,2.98567,2.47122
0.013,3.06012,3.00579,2.47129
0.014,2.83498,2.95963,2.47135
0.015,2.90383,2.94456,2.47141
0.016,2.85869,2.92136,2.47148
0.017,2.68234,2.85678,2.47154
0.018,2.76396,2.83171,2.47161
0.019,2.68458,2.79196,2.47167
0.02,3.06379,2.8654,2.47173
0.021,2.86125,2.86428,2.4718
0.022,2.90494,2.87526,2.47186
0.023,2.95575,2.89701,2.47192
0.024,2.70305,2.84461,2.47199
0.025,2.35448,2.7122,2.47205
0.026,3.10035,2.81706,2.47212
0.027,2.99798,2.86594,2.47218
0.028,3.04432,2.91413,2.47224
0.029,3.41964,3.05069,2.47231
0.03,2.86053,2.99932,2.47237
0.031,2.4758,2.85789,2.47243
0.032,2.78225,2.83745,2.4725
0.033,2.94535,2.8666,2.47256
0.034,2.77851,2.8428,2.47263
0.035,2.75117,2.81805,2.47269
0.036,3.0804,2.88893,2.47275
0.037,2.48985,2.78111,2.47282
0.038,2.4624,2.69501,2.47288
0.039,2.46993,2.6342,2.47295
0.04,3.15848,2.77584,2.47301
0.041,2.80511,2.78375,2.47307
0.042,2.84204,2.79949,2.47314
0.043,2.73813,2.78292,2.4732
0.044,2.61418,2.73733,2.47326
0.045,2.94375,2.7931,2.47333
0.046,2.57766,2.73489,2.47339
0.047,2.72131,2.73122,2.47346
0.048,2.81589,2.7541,2.47352
0.049,2.63053,2.72071,2.47358
0.05,2.82108,2.74783,2.47365
0.051,3.17131,2.86224,2.47371
0.052,2.58417,2.78711,2.47377
0.053,3.18491,2.89458,2.47384
0.054,3.03888,2.93356,2.4739
0.055,2.52758,2.82389,2.47397
0.056,2.40232,2.71,2.47403
0.057,2.40023,2.62631,2.47409
0.058,2.65906,2.63516,2.47416
0.059,2.7763,2.67329,2.47422
0.06,2.42911,2.60732,2.47428
0.061,2.82483,2.66608,2.47435
0.062,2.79854,2.70187,2.47441
0.063,2.32748,2.60072,2.47448
0.064,2.64275,2.61208,2.47454
0.065,3.64458,2.89101,2.4746
0.066,2.37916,2.75273,2.47467
0.067,2.4983,2.684,2.47473
0.068,3.10907,2.79883,2.4748
0.069,3.00493,2.85451,2.47486
0.07,2.64062,2.79673,2.47492
0.071,2.32318,2.6688,2.47499
0.072,2.8444,2.71624,2.47505
0.073,2.72599,2.71887,2.47511
0.074,2.52208,2.66571,2.47518
0.075,2.63686,2.65791,2.47524
0.076,2.56259,2.63216,2.47531
0.077,2.70202,2.65103,2.47537
0.078,2.45174,2.59719,2.47543
0.079,2.84306,2.66362,2.4755
